cod_cur,cod_est,year,periodo
603401,160003440,2023,1
603401,160003900,2023,1
603401,160003924,2023,1
603401,160004005,2023,1
603401,160004119,2023,1
603401,160004201,2023,1
603401,160004203,2023,1
603401,160004204,2023,1
603401,160004210,2023,1
603401,160004215,2023,1
603401,160004216,2023,1
603401,160004221,2023,1
603401,160004224,2023,1
603401,160004232,2023,1
603401,160004238,2023,1
603401,160004243,2023,1
603401,160004249,2023,1
603401,160004251,2023,1
603401,160003645,2023,1
603401,160003841,2023,1
603401,160004004,2023,1
603401,160004008,2023,1
603401,160004031,2023,1
603401,160004038,2023,1
603401,160004050,2023,1
603401,160004107,2023,1
603401,160004109,2023,1
603401,160004111,2023,1
603401,160004112,2023,1
603401,160004126,2023,1
603401,160004130,2023,1
603401,160004132,2023,1
603401,160004134,2023,1
603401,160004141,2023,1
603605,161004205,2023,1
603605,161004206,2023,1
603605,161004222,2023,1
603605,161004232,2023,1
603605,161004312,2023,1
603605,161004417,2023,1
603605,161004425,2023,1
